,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
3199,3200,731.5411,18017.5,1.06,731.5412,-0.05,8.0,C43 [13]C H74 O8 ,,ko6,2,43,74,8,0,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,731.5415,730.535668,C34[13C]6H73N2O7P,6.0,0.001431,1.9593,N2PO7[13C]6C34H73
3200,3201,731.5768,8806.7,0.52,731.577,-0.21,3.5,C38 [13]C4 H80 O7 P ,,ko6,2,38,80,7,0,1,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,731.5772,730.568208,C27[13C]15H72N2O5P,8.5,-0.001729,-2.3672,N2PO5[13C]15C27H72
3201,3202,731.6059,101299.7,5.95,731.6058,0.11,6.0,C45 H81 O6 N ,,ko6,2,45,81,6,1,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,731.6063,730.598875,C41H83N2O6P,2.0,-0.000162,-0.2217,N2PO6C41H83
3202,3203,732.5331,4480.2,0.26,732.533,0.12,15.0,C40 [13]C8 H68 O5 ,,ko6,2,40,68,5,0,0,8,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,732.5335,731.526834,C38[13C]5H71N2O5P,10.0,0.000597,0.8164,N2PO5[13C]5C38H71
3203,3204,732.5429,14574.8,0.86,732.5427,0.15,13.0,C44 [13]C3 H71 O5 N ,,ko6,2,44,71,5,1,0,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,732.5433,731.535775,C40[13C]3H73N2O5P,9.0,-0.000262,-0.3587,N2PO5[13C]3C40H73
3204,3205,732.5536,200075.4,11.75,732.5538,-0.15,2.5,C40 H79 O8 N P ,,ko6,2,40,79,8,1,1,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,732.554,731.547964,C35[13C]5H75N2O7P,5.0,0.001227,1.6767,N2PO7[13C]5C35H75
3205,3206,732.5808,5478.4,0.32,732.5809,-0.07,7.0,C43 [13]C2 H78 O7 ,,ko6,2,43,78,7,0,0,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,732.5812,731.575409,C34[13C]7H77N2O6P,5.0,0.001472,2.0117,N2PO6[13C]7C34H77
3206,3207,732.5891,5056.1,0.3,732.5893,-0.25,2.5,C39 [13]C3 H82 O7 P ,,ko6,2,39,82,7,0,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,732.5895,731.580503,C28[13C]14H74N2O5P,7.5,-0.001734,-2.3704,N2PO5[13C]14C28H74
3207,3208,732.6092,45071.2,2.65,732.6092,0.0,6.0,C44 [13]C H81 O6 N ,,ko6,2,44,81,6,1,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,732.6096,731.60223,C40[13C]H83N2O6P,2.0,-0.000107,-0.1464,N2PO6[13C]C40H83
3208,3209,733.5362,5148.6,0.3,733.536,0.23,7.5,C42 [13]C H75 O6 N P ,,ko6,2,42,75,6,1,1,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,733.5366,732.528967,C29[13C]11H70N2O7P,7.5,-0.00037,-0.5045,N2PO7[13C]11C29H70
3209,3210,733.548,54159.3,3.18,733.5479,0.15,8.0,C41 [13]C3 H74 O8 ,,ko6,2,41,74,8,0,0,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,733.5484,732.542378,C32[13C]8H73N2O7P,6.0,0.001241,1.6941,N2PO7[13C]8C32H73
3210,3211,733.5568,96674.0,5.68,733.5568,-0.07,7.0,C43 [13]C H76 O8 ,,ko6,2,43,76,8,0,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,733.5572,732.551318,C34[13C]6H75N2O7P,5.0,0.001381,1.8858,N2PO7[13C]6C34H75
3211,3212,733.5849,5698.3,0.33,733.585,-0.07,6.0,C44 [13]C H81 O5 P ,,ko6,2,44,81,5,0,1,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,733.5853,732.57814,C40H81N2O7P,2.0,0.000103,0.14,N2PO7C40H81
