name,area,deq,group
koiwat_1_0196_RGB Trans.tiff,1178.52,38.74,ko
koiwat_1_0196_RGB Trans.tiff,6369.14,90.05,ko
koiwat_1_0196_RGB Trans.tiff,1993.75,50.38,ko
koiwat_1_0196_RGB Trans.tiff,1339.06,41.29,ko
koiwat_1_0196_RGB Trans.tiff,2493.75,56.35,ko
koiwat_1_0196_RGB Trans.tiff,1515.62,43.93,ko
koiwat_1_0196_RGB Trans.tiff,5616.8,84.57,ko
koiwat_1_0196_RGB Trans.tiff,4922.27,79.17,ko
koiwat_1_0196_RGB Trans.tiff,5316.8,82.28,ko
koiwat_1_0196_RGB Trans.tiff,5667.58,84.95,ko
koiwat_1_0196_RGB Trans.tiff,1821.88,48.16,ko
koiwat_1_0196_RGB Trans.tiff,401.56,22.61,ko
koiwat_1_0196_RGB Trans.tiff,1146.88,38.21,ko
koiwat_1_0196_RGB Trans.tiff,1101.95,37.46,ko
koiwat_1_0196_RGB Trans.tiff,3487.11,66.63,ko
koiwat_1_0196_RGB Trans.tiff,373.44,21.81,ko
koiwat_1_0196_RGB Trans.tiff,1962.89,49.99,ko
koiwat_1_0196_RGB Trans.tiff,1559.77,44.56,ko
koiwat_1_0196_RGB Trans.tiff,7751.17,99.34,ko
koiwat_1_0196_RGB Trans.tiff,1396.48,42.17,ko
koiwat_1_0196_RGB Trans.tiff,1595.7,45.07,ko
koiwat_1_0196_RGB Trans.tiff,892.19,33.7,ko
koiwat_1_0196_RGB Trans.tiff,3717.19,68.8,ko
koiwat_1_0196_RGB Trans.tiff,2150,52.32,ko
koiwat_1_0196_RGB Trans.tiff,328.52,20.45,ko
koiwat_1_0196_RGB Trans.tiff,643.75,28.63,ko
koiwat_1_0196_RGB Trans.tiff,4252.34,73.58,ko
koiwat_1_0196_RGB Trans.tiff,645.7,28.67,ko
koiwat_1_0196_RGB Trans.tiff,4761.72,77.86,ko
koiwat_1_0196_RGB Trans.tiff,2123.44,52,ko
koiwat_1_0196_RGB Trans.tiff,4996.09,79.76,ko
koiwat_1_0196_RGB Trans.tiff,1210.16,39.25,ko
koiwat_1_0196_RGB Trans.tiff,4041.02,71.73,ko
koiwat_1_0196_RGB Trans.tiff,1294.53,40.6,ko
koiwat_1_0196_RGB Trans.tiff,9132.81,107.83,ko
koiwat_1_0196_RGB Trans.tiff,377.73,21.93,ko
koiwat_1_0196_RGB Trans.tiff,679.3,29.41,ko
koiwat_1_0196_RGB Trans.tiff,2900,60.77,ko
koiwat_1_0196_RGB Trans.tiff,2924.22,61.02,ko
koiwat_1_0196_RGB Trans.tiff,485.55,24.86,ko
koiwat_1_0196_RGB Trans.tiff,4345.31,74.38,ko
koiwat_1_0196_RGB Trans.tiff,555.47,26.59,ko
koiwat_1_0196_RGB Trans.tiff,984.77,35.41,ko
koiwat_1_0196_RGB Trans.tiff,3230.08,64.13,ko
koiwat_1_0196_RGB Trans.tiff,3542.97,67.16,ko
koiwat_1_0196_RGB Trans.tiff,1507.42,43.81,ko
koiwat_1_0196_RGB Trans.tiff,4145.31,72.65,ko
koiwat_1_0196_RGB Trans.tiff,717.58,30.23,ko
koiwat_1_0196_RGB Trans.tiff,2268.36,53.74,ko
koiwat_1_0196_RGB Trans.tiff,9857.03,112.03,ko
koiwat_1_0196_RGB Trans.tiff,6332.81,89.8,ko
koiwat_1_0196_RGB Trans.tiff,2774.61,59.44,ko
koiwat_1_0196_RGB Trans.tiff,5316.41,82.27,ko
koiwat_1_0196_RGB Trans.tiff,6836.72,93.3,ko
koiwat_1_0196_RGB Trans.tiff,4250,73.56,ko
koiwat_1_0196_RGB Trans.tiff,386.72,22.19,ko
koiwat_1_0196_RGB Trans.tiff,457.42,24.13,ko
koiwat_1_0196_RGB Trans.tiff,316.41,20.07,ko
koiwat_1_0196_RGB Trans.tiff,4485.94,75.58,ko
koiwat_1_0196_RGB Trans.tiff,5868.36,86.44,ko
koiwat_1_0196_RGB Trans.tiff,357.42,21.33,ko
koiwat_1_0196_RGB Trans.tiff,4414.06,74.97,ko
koiwat_1_0196_RGB Trans.tiff,1016.02,35.97,ko
koiwat_1_0196_RGB Trans.tiff,8152.73,101.88,ko
koiwat_1_0196_RGB Trans.tiff,639.06,28.53,ko
koiwat_1_0196_RGB Trans.tiff,5698.83,85.18,ko
koiwat_1_0196_RGB Trans.tiff,11423.05,120.6,ko
koiwat_1_0196_RGB Trans.tiff,5148.44,80.96,ko
koiwat_1_0196_RGB Trans.tiff,5426.17,83.12,ko
koiwat_1_0196_RGB Trans.tiff,646.88,28.7,ko
koiwat_1_0196_RGB Trans.tiff,2848.44,60.22,ko
koiwat_1_0196_RGB Trans.tiff,4168.75,72.85,ko
koiwat_1_0196_RGB Trans.tiff,585.94,27.31,ko
koiwat_1_0196_RGB Trans.tiff,12693.75,127.13,ko
koiwat_1_0196_RGB Trans.tiff,2686.33,58.48,ko
koiwat_1_0196_RGB Trans.tiff,506.25,25.39,ko
koiwat_1_0196_RGB Trans.tiff,1070.7,36.92,ko
koiwat_1_0196_RGB Trans.tiff,580.08,27.18,ko
koiwat_1_0196_RGB Trans.tiff,4313.67,74.11,ko
koiwat_1_0196_RGB Trans.tiff,3197.66,63.81,ko
koiwat_1_0196_RGB Trans.tiff,3709.38,68.72,ko
