ENSEMBL_ID	cntl_pal_r1 raw counts	cntl_pal_r2 raw counts	cntl_r1 raw counts	cntl_r2 raw counts	tr_pal_r1 raw counts	tr_pal_r2 raw counts	tr_r1 raw counts	tr_r2 raw counts	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000690	46	56	34	36	40	45	39	49	39.5976002277022	-0.29903103040556	0.464903976051037	-0.643210309676364	0.520087644510938	NA
ENSMUSG00000000693	1010	1041	692	928	1064	893	1040	915	886.136778767119	-0.24534223996007	0.102633137977903	-2.39047782026203	0.0168264654462286	0.306978030837626
ENSMUSG00000000701	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000706	0	0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000708	8609	7937	6560	8321	7409	8148	8630	7504	7702.52820809397	-0.0866555154245639	0.0479489970574566	-1.80724354506781	0.0707243141466534	0.579316821883949
ENSMUSG00000000711	11784	10750	8732	10610	9747	10140	10126	9118	9603.71846784431	0.0395569546912784	0.0462485831447848	0.855311709062356	0.392378607051134	0.906956815876672
ENSMUSG00000000724	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000730	31	22	1	9	18	19	7	13	NA	NA	NA	NA	NA	NA
ENSMUSG00000000731	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000732	4	12	1	8	7	4	4	1	NA	NA	NA	NA	NA	NA
ENSMUSG00000000738	4097	3780	2949	3973	3146	3110	3726	3306	3461.23683523288	0.00219218252203036	0.0611575238317161	0.0358448541517552	0.971406067588515	0.995296577576918
ENSMUSG00000000739	9	11	0	10	12	4	8	7	NA	NA	NA	NA	NA	NA
ENSMUSG00000000740	12437	11815	8129	11237	10689	10882	11183	10229	10107.7642040821	-0.123293033881849	0.0501560980569005	-2.45818631549003	0.0139640707623632	0.273298485194676
ENSMUSG00000000743	4845	4519	3129	4344	4032	4128	4214	3902	3864.46795750385	-0.0977284275084586	0.0620575664819812	-1.5748027686009	0.115301977178069	0.700589789618413
ENSMUSG00000000751	3640	3293	2734	3284	3049	2954	3009	2795	2945.05631535354	0.0840982987295654	0.0646045010756922	1.30174054948639	0.193005092845702	0.800650278107658
ENSMUSG00000000753	16398	15362	12106	13729	13050	13822	13164	11677	12640.0406236099	0.0951878372062987	0.0540148272479766	1.76225384873122	0.0780264176513354	0.599548180902136
ENSMUSG00000000759	4351	4201	3293	4424	3602	3864	3997	3665	3816.92535222777	0.0344483994724868	0.058958084809169	0.58428627022039	0.559027727882116	0.946570411362465
ENSMUSG00000000766	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000776	1197	1071	823	1039	1045	1085	1013	953	951.883411252664	-0.0504941405522003	0.0986635838025239	-0.511780928749404	0.608804339149975	0.954822856544592
ENSMUSG00000000782	1	6	3	6	1	2	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000787	56905	50774	42203	52863	48294	50413	51195	44719	47468.1208210781	0.0182100287860358	0.0377598082297631	0.48225956750708	0.629621565892411	0.959091300897593
ENSMUSG00000000791	12	8	0	7	5	12	5	5	NA	NA	NA	NA	NA	NA
ENSMUSG00000000792	53	50	34	46	25	31	40	35	38.4487418931925	0.118501726067812	0.46023242559909	0.25748234908385	0.796806439474829	NA
ENSMUSG00000000794	1	2	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000804	6649	6000	4974	5891	5430	5660	5731	5178	5423.51758848039	0.028124143205416	0.0551079433939167	0.510346448684939	0.609808766919898	0.954822856544592
ENSMUSG00000000805	0	0	0	0	0	0	5	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000811	1744	1607	1240	1541	1467	1482	1474	1454	1421.14418201443	-0.0466893178224492	0.0860640320967498	-0.542495124676043	0.587477465112515	0.954196382252473
ENSMUSG00000000817	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000823	4126	4412	3648	4423	3733	3923	4126	3867	4000.50443134227	0.0449739649986721	0.0584531667053121	0.76940168571885	0.441654888186664	0.921609157456476
ENSMUSG00000000826	9021	8517	6605	8745	7421	7648	7839	7272	7564.82019477948	0.0473054436629986	0.0485483550841015	0.974398485408006	0.329858721218243	0.882684099393823
ENSMUSG00000000827	6074	5632	4240	5818	5226	5297	5761	5125	5191.11833902406	-0.0907675341773963	0.056262051306512	-1.61329940998597	0.106679474680957	0.68084648657038
ENSMUSG00000000838	14273	13300	10851	13685	11838	12792	13456	12388	12524.7780130425	-0.0463118394246426	0.0420151754291567	-1.10226457349275	0.270346666114632	0.863131487975178
ENSMUSG00000000861	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
ENSMUSG00000000869	0	0	0	0	0	0	0	2	NA	NA	NA	NA	NA	NA
ENSMUSG00000000876	5105	4875	3960	4972	3906	4303	4820	4128	4442.85845202444	0.0285554467685843	0.0565944798254049	0.504562403553816	0.61386622180979	0.955501636232154
ENSMUSG00000000881	1142	1046	795	1088	1010	960	1013	904	942.192951308947	-0.00184524438303191	0.100566245759281	-0.0183485459668918	0.98536079989226	0.997550835562369
ENSMUSG00000000884	258	316	220	313	268	286	270	238	257.832741492161	0.091165731917153	0.183034139707007	0.498080478664183	0.618427319244863	NA
ENSMUSG00000000889	1	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
ENSMUSG00000000901	23525	24907	18811	23796	28807	31095	30082	28377	25099.6950381844	-0.42879139903801	0.039852938215267	-10.7593421775298	5.35510571741402e-27	5.09002798440203e-23
ENSMUSG00000000902	3813	3685	2844	3449	3191	3521	3606	3248	3270.69530273646	-0.0911521659731409	0.0613740005667507	-1.48519185862755	0.137493008045235	0.741697526373414
