,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
3380,3381,773.6292,9732.3,0.57,773.6293,-0.08,2.0,C44 H88 O7 N P ,,ko6,2,44,88,7,1,1,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,773.6296,772.622016,C44H87NO7P,2.5,-0.000321,-0.4158,NPO7C44H87
3381,3382,773.7149,23725.5,1.39,773.7146,0.26,-0.5,C47 H98 O5 P ,,ko6,2,47,98,5,0,1,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,773.7153,772.706976,C41[13C]2H97NO7P,-3.5,-0.001061,-1.3734,NPO7[13C]2C41H97
3382,3383,774.5233,9352.4,0.55,774.5232,0.02,20.0,C47 [13]C5 H67 O4 N ,,ko6,2,47,67,4,1,0,5,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,774.5237,773.51806,C41[13C]4H72NO7P,11.0,0.001623,2.0977,NPO7[13C]4C41H72
3383,3384,774.5405,23916.6,1.4,774.5406,-0.1,14.5,C45 [13]C4 H73 O4 N P ,,ko6,2,45,73,4,1,1,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,774.5409,773.535343,C30[13C]13H71NO8P,9.5,0.001706,2.2052,NPO8[13C]13C30H71
3384,3385,774.5723,4824.9,0.28,774.5722,0.09,18.5,C49 [13]C5 H73 O3 ,,ko6,2,49,73,3,0,0,5,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,774.5727,773.566634,C37[13C]6H78NO8P,6.0,0.001197,1.5475,NPO8[13C]6C37H78
3385,3386,774.5831,5179.9,0.3,774.5832,-0.15,8.0,C45 [13]C2 H81 O6 P ,,ko6,2,45,81,6,0,1,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,774.5835,773.576198,C32[13C]12H76NO7P,8.0,-0.000039,-0.0498,NPO7[13C]12C32H76
3386,3387,774.6005,15709.0,0.92,774.6004,0.05,7.0,C47 H82 O8 ,,ko6,2,47,82,8,0,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,774.6009,773.593455,C43H84NO8P,3.0,-0.000182,-0.2349,NPO8C43H84
3387,3388,774.6179,5992.7,0.35,774.6184,-0.48,4.5,C38 [13]C7 H84 O7 P ,,ko6,2,38,84,7,0,1,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,774.6183,773.61196,C40[13C]4H84NO7P,4.0,0.000923,1.1931,NPO7[13C]4C40H84
3388,3389,774.6563,4640.0,0.27,774.6561,0.18,6.0,C47 [13]C H87 O6 N ,,ko6,2,47,87,6,1,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,774.6567,773.651594,C34[13C]8H88NO8P,0.0,0.002157,2.7882,NPO8[13C]8C34H88
3389,3390,774.7184,16220.5,0.95,774.7181,0.22,-0.5,C46 H96 O7 N ,,ko6,2,46,96,7,1,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,774.7188,773.710331,C40[13C]3H97NO7P,-3.5,-0.001206,-1.5592,NPO7[13C]3C40H97
3390,3391,775.5279,9803.5,0.58,775.5279,0.01,11.5,C38 [13]C8 H72 O7 P ,,ko6,2,38,72,7,0,1,8,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,775.5283,774.521414,C40[13C]5H72NO7P,11.0,0.000377,0.4874,NPO7[13C]5C40H72
3391,3392,775.5349,13368.8,0.79,775.535,-0.07,15.5,C42 [13]C7 H71 O4 N P ,,ko6,2,42,71,4,1,1,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,775.5353,774.525885,C41[13C]4H73NO7P,10.5,-0.002152,-2.7789,NPO7[13C]4C41H73
