,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
9204,9205,604.5266,240646.5,0.54,604.4473,79.24,2.0,C33 H65 O7 P ,,sc1,2,33.0,65.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.000423829670989,604.526176170329,605.532563,C26[13C]2H75O12,-8.5,-0.000884,-1.4593,O12[13C]2C26H75
9205,9206,605.4557,599940.3,1.35,605.4552,0.52,1.5,C33 H66 O7 P ,,sc1,2,33.0,66.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004230896606508,605.455276910339,606.463844,C25[13C]H70O12P,-7.5,0.001297,2.139,O12P[13C]C25H70
9206,9207,605.4653,1937472.8,4.37,605.4552,10.1,1.5,C33 H66 O7 P ,,sc1,2,33.0,66.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004230820144349,605.464876917986,606.468314,C26H71O12P,-8.0,-0.003833,-6.3195,O12PC26H71
9207,9208,605.4742,2088890.6,4.71,605.4552,19.03,1.5,C33 H66 O7 P ,,sc1,2,33.0,66.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004230749257555,605.473776925074,606.468314,C26H71O12P,-8.0,-0.012733,-20.9946,O12PC26H71
9208,9209,606.4592,895316.3,2.02,606.4585,0.65,1.5,C32 [13]C H66 O7 P ,,sc1,2,32.0,66.0,7.0,0,1,1,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.000422290392139,606.458777709608,607.463253,C29H67O12,-3.5,-0.002795,-4.6013,O12C29H67
9209,9210,606.4685,2899827.5,6.54,606.463,5.49,1.0,C33 H67 O7 P ,,sc1,2,33.0,67.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004222829848673,606.468077717015,607.476139,C26H72O12P,-8.5,0.000792,1.3032,O12PC26H72
9210,9211,606.4776,2818585.8,6.35,606.463,14.62,1.0,C33 H67 O7 P ,,sc1,2,33.0,67.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004222757368918,606.477177724263,607.476139,C26H72O12P,-8.5,-0.008308,-13.6768,O12PC26H72
9211,9212,606.4867,471631.1,1.06,606.463,23.76,1.0,C33 H67 O7 P ,,sc1,2,33.0,67.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004222684889162,606.486277731511,607.476139,C26H72O12P,-8.5,-0.017408,-28.6569,O12PC26H72
9212,9213,607.4624,519749.9,1.17,607.4619,0.54,1.5,C31 [13]C2 H66 O7 P ,,sc1,2,31.0,66.0,7.0,0,1,2,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004214913625715,607.461978508637,608.471078,C29H68O12,-4.0,0.001829,3.0061,O12C29H68
9213,9214,607.4718,1472826.3,3.32,607.4708,0.98,0.5,C33 H68 O7 P ,,sc1,2,33.0,68.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004214838756517,607.471378516124,608.479494,C25[13C]H72O12P,-8.5,0.000846,1.3899,O12P[13C]C25H72
9214,9215,607.4809,1564803.4,3.53,607.4708,10.12,0.5,C33 H68 O7 P ,,sc1,2,33.0,68.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004214766276761,607.480478523372,608.483964,C26H73O12P,-9.0,-0.003784,-6.2189,O12PC26H73
9215,9216,607.4901,271658.7,0.61,607.4708,19.33,0.5,C33 H68 O7 P ,,sc1,2,33.0,68.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004214693000525,607.4896785307,608.483964,C26H73O12P,-9.0,-0.012984,-21.3385,O12PC26H73
9216,9217,608.4657,545762.2,1.23,608.4661,-0.36,0.5,C32 H67 O7 N P ,,sc1,2,32.0,67.0,7.0,1,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004206922533558,608.465279307747,609.474432,C28[13C]H68O12,-4.0,0.001883,3.0898,O12[13C]C28H68
9217,9218,608.4751,2133056.8,4.81,608.4742,0.96,0.5,C32 [13]C H68 O7 P ,,sc1,2,32.0,68.0,7.0,0,1,1,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004206847664361,608.474679315234,609.478903,C29H69O12,-4.5,-0.003047,-4.9988,O12C29H69
9218,9219,608.4843,2140366.5,4.83,608.4786,5.63,0.0,C33 H69 O7 P ,,sc1,2,33.0,69.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004206774388124,608.483879322561,609.491789,C26H74O12P,-9.5,0.00064,1.0502,O12PC26H74
9219,9220,608.4932,499636.1,1.13,608.4786,14.59,0.0,C33 H69 O7 P ,,sc1,2,33.0,69.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.000420670350133,608.49277932965,609.491789,C26H74O12P,-9.5,-0.00826,-13.5521,O12PC26H74
9220,9221,609.4694,269567.2,0.61,609.4694,0.0,0.5,C31 [13]C H67 O7 N P ,,sc1,2,31.0,67.0,7.0,1,1,1,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004198928255479,609.468980107174,610.477787,C27[13C]2H68O12,-4.0,0.001537,2.518,O12[13C]2C27H68
9221,9222,609.4785,976046.6,2.2,609.4775,0.93,0.5,C31 [13]C2 H68 O7 P ,,sc1,2,31.0,68.0,7.0,0,1,2,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004198855775723,609.478080114422,610.486728,C29H70O12,-5.0,0.001378,2.2565,O12C29H70
9222,9223,609.4877,1156683.3,2.61,609.4865,1.21,-0.5,C33 H70 O7 P ,,sc1,2,33.0,70.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004198782499487,609.48728012175,610.495144,C25[13C]H74O12P,-9.5,0.000594,0.9732,O12P[13C]C25H74
9223,9224,609.4967,251740.0,0.57,609.4865,10.28,-0.5,C33 H70 O7 P ,,sc1,2,33.0,70.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004198710816212,609.496280128918,610.499614,C26H75O12P,-10.0,-0.003936,-6.4466,O12PC26H75
9224,9225,610.4728,242940.3,0.55,610.4728,0.06,0.5,C30 [13]C2 H67 O7 N P ,,sc1,2,30.0,67.0,7.0,1,1,2,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004190936366841,610.472380906363,611.481142,C26[13C]3H68O12,-4.0,0.001491,2.4387,O12[13C]3C26H68
9225,9226,610.4819,1229827.8,2.77,610.4817,0.17,-0.5,C32 H69 O7 N P ,,sc1,2,32.0,69.0,7.0,1,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004190863887086,610.481480913611,611.490083,C28[13C]H70O12,-5.0,0.001332,2.1776,O12[13C]C28H70
9226,9227,610.4909,1364903.0,3.08,610.4898,1.09,-0.5,C32 [13]C H70 O7 P ,,sc1,2,32.0,70.0,7.0,0,1,1,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004190792203811,610.49048092078,611.494553,C29H71O12,-5.5,-0.003198,-5.2302,O12C29H71
9227,9228,610.5001,241899.3,0.55,610.4943,5.8,-1.0,C33 H71 O7 P ,,sc1,2,33.0,71.0,7.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004190718927575,610.499680928107,611.50744,C26H76O12P,-10.5,0.000489,0.799,O12PC26H76
9228,9229,611.3921,994757.6,2.24,611.393,-0.86,1.5,C30 H60 O10 P ,,sc1,2,30.0,60.0,10.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004183614318581,611.391681638568,612.399537,C28[13C]2H58O12,2.0,0.000585,0.9558,O12[13C]2C28H58
9229,9230,611.4664,1675337.4,3.78,611.4657,0.67,-0.5,C32 H68 O8 P ,,sc1,2,32.0,68.0,8.0,0,1,0,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004183022533325,611.465981697747,612.478879,C25H73O13P,-10.0,0.005627,9.1878,O13PC25H73
9230,9231,611.4852,551560.6,1.24,611.4851,0.18,-0.5,C31 [13]C H69 O7 N P ,,sc1,2,31.0,69.0,7.0,1,1,1,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.000418287279493,611.48478171272,612.493437,C27[13C]2H70O12,-5.0,0.001386,2.2623,O12[13C]2C27H70
9231,9232,611.4944,620825.8,1.4,611.4932,1.2,-0.5,C31 [13]C2 H70 O7 P ,,sc1,2,31.0,70.0,7.0,0,1,2,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004182799518693,611.493981720048,612.502378,C29H72O12,-6.0,0.001126,1.8384,O12C29H72
9232,9233,612.2415,252649.6,0.57,612.2445,-2.98,11.0,C26 [13]C3 H40 O11 N P ,,sc1,2,26.0,40.0,11.0,1,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004176849010421,612.241082315099,613.241388,C29H42O12P,9.5,-0.006964,-11.3559,O12PC29H42
9233,9234,612.3952,361205.8,0.81,612.3945,0.67,6.5,C31 [13]C2 H57 O7 N P ,,sc1,2,31.0,57.0,7.0,1,1,2,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004175624819387,612.394782437518,613.402892,C27[13C]3H58O12,2.0,0.000839,1.3684,O12[13C]3C27H58
9234,9235,612.4697,619139.7,1.4,612.4691,0.57,-0.5,C31 [13]C H68 O8 P ,,sc1,2,31.0,68.0,8.0,0,1,1,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004175031441169,612.469282496856,613.473817,C28H69O13,-5.5,-0.002735,-4.4586,O13C28H69
9235,9236,612.4886,655474.4,1.48,612.4884,0.2,-0.5,C30 [13]C2 H69 O7 N P ,,sc1,2,30.0,69.0,7.0,1,1,2,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004174880906292,612.488182511909,613.496792,C26[13C]3H70O12,-5.0,0.00134,2.1837,O12[13C]3C26H70
9236,9237,612.4978,859689.8,1.94,612.4965,1.24,-0.5,C30 [13]C3 H70 O7 P ,,sc1,2,30.0,70.0,7.0,0,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004174807630056,612.497382519237,613.505733,C28[13C]H72O12,-6.0,0.00108,1.7605,O12[13C]C28H72
9237,9238,612.5066,200155.2,0.45,612.501,5.63,-1.0,C31 [13]C2 H71 O7 P ,,sc1,2,31.0,71.0,7.0,0,1,2,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004174737539743,612.506182526246,613.510203,C29H73O12,-6.5,-0.00325,-5.297,O12C29H73
9238,9239,613.4637,275476.2,0.62,613.4643,-0.61,-0.5,C30 [13]C H67 O8 N P ,,sc1,2,30.0,67.0,8.0,1,1,1,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.000416711442173,613.463283288558,614.472702,C26[13C]2H68O13,-5.0,0.002149,3.4967,O13[13C]2C26H68
9239,9240,613.4922,194925.6,0.44,613.4918,0.43,-0.5,C29 [13]C3 H69 O7 N P ,,sc1,2,29.0,69.0,7.0,1,1,3,sc1_2,10,7.9648082890475e-07,-0.000905323518452,-0.0004166887424694,613.491783311258,614.500147,C25[13C]4H70O12,-5.0,0.001094,1.7799,O12[13C]4C25H70
