mz,intensity,rel.intensity,theo.mass,delta,rdb,comp,sample
610.5141,248944.8,0.12,610.5178,-3.69,3,C37 H70 O6 ,sc_nuc_1
610.5425,207198.9,0.1,610.5416,0.87,2.5,C37 H72 O5 N ,sc_nuc_1
611.0338,233912.2,0.11,611.1409,-107.12,13,C26 H30 O14 N P ,sc_nuc_1
611.396,4313816,2.04,611.3956,0.32,6,C33 H58 O7 N P ,sc_nuc_1
611.4899,329612,0.16,611.4895,0.32,-1,C32 H70 O7 N P ,sc_nuc_1
611.5263,2600806,1.23,611.5256,0.69,2.5,C37 H71 O6 ,sc_nuc_1
612.3992,1548828.9,0.73,612.4008,-1.61,1,C30 H61 O10 P ,sc_nuc_1
612.5295,941585,0.45,612.5334,-3.92,2,C37 H72 O6 ,sc_nuc_1
613.4024,261437.3,0.12,613.4027,-0.32,9.5,C37 H58 O5 P ,sc_nuc_1
613.5418,2870840.8,1.36,613.5413,0.5,1.5,C37 H73 O6 ,sc_nuc_1
614.545,1036671.6,0.49,614.5491,-4.09,1,C37 H74 O6 ,sc_nuc_1
615.045,366970.9,0.17,615.1511,-106.11,16,C29 H30 O12 N P ,sc_nuc_1
615.3754,355527.4,0.17,615.3753,0.13,1,C28 H58 O11 N P ,sc_nuc_1
616.4719,1111273.8,0.53,616.4711,0.73,2.5,C34 H67 O6 N P ,sc_nuc_1
617.4751,376972,0.18,617.4787,-3.59,6.5,C38 H65 O6 ,sc_nuc_1
618.5837,751634.8,0.36,618.5831,0.67,3.5,C40 H76 O3 N ,sc_nuc_1
619.2896,3881750.3,1.84,619.2889,0.71,6.5,C29 H48 O12 P ,sc_nuc_1
619.5871,175803.4,0.08,619.5909,-3.8,3,C40 H77 O3 N ,sc_nuc_1
619.6404,665304.3,0.32,619.6035,36.89,2.5,C41 H79 O3 ,sc_nuc_1
620.2929,1021998.5,0.48,620.2932,-0.31,24,C43 H40 O4 ,sc_nuc_1
620.5993,1215160.1,0.58,620.5987,0.54,2.5,C40 H78 O3 N ,sc_nuc_1
620.6438,238037.1,0.11,620.6113,32.52,2,C41 H80 O3 ,sc_nuc_1
621.0354,213759.1,0.1,621.1379,-102.42,14.5,C28 H30 O14 P ,sc_nuc_1
621.3053,473553,0.22,621.3045,0.79,5.5,C29 H50 O12 P ,sc_nuc_1
621.6028,530708.2,0.25,621.6065,-3.71,2,C40 H79 O3 N ,sc_nuc_1
623.3656,234885.3,0.11,623.366,-0.36,16.5,C41 H52 O3 P ,sc_nuc_1
624.5218,329158.5,0.16,624.5209,0.91,3.5,C37 H70 O6 N ,sc_nuc_1
625.0497,156403.1,0.07,625.148,-98.3,17.5,C31 H30 O12 P ,sc_nuc_1
625.381,403386.4,0.19,625.3805,0.55,2.5,C30 H57 O13 ,sc_nuc_1
626.5292,399259.8,0.19,626.5283,0.92,2.5,C37 H73 O4 N P ,sc_nuc_1
626.5373,1750552.1,0.83,626.5365,0.75,2.5,C37 H72 O6 N ,sc_nuc_1
626.5484,292763.5,0.14,626.5491,-0.65,2,C38 H74 O6 ,sc_nuc_1
627.4768,609136.1,0.29,627.4759,0.85,3.5,C36 H68 O6 P ,sc_nuc_1
627.5406,596197.9,0.28,627.5443,-3.74,2,C37 H73 O6 N ,sc_nuc_1
627.5608,3195738.5,1.51,627.5596,1.23,6,C41 H73 O3 N ,sc_nuc_1
628.4803,196514,0.09,628.4794,0.92,3.5,C35 H66 O8 N ,sc_nuc_1
628.5448,1161876.6,0.55,628.5439,0.86,1.5,C37 H75 O4 N P ,sc_nuc_1
628.5642,1357781.8,0.64,628.5647,-0.59,1,C38 H76 O6 ,sc_nuc_1
629.0245,225375.5,0.11,629.143,-118.47,16.5,C30 H30 O13 P ,sc_nuc_1
629.0611,199211.2,0.09,629.143,-81.9,16.5,C30 H30 O13 P ,sc_nuc_1
629.474,197544.5,0.09,629.472,2.08,-1,C31 H67 O11 N ,sc_nuc_1
629.4924,518871.9,0.25,629.4915,0.86,2.5,C36 H70 O6 P ,sc_nuc_1
629.5482,341571.5,0.16,629.5514,-3.22,5.5,C41 H73 O4 ,sc_nuc_1
